FID,X,Y
0,-86.798991553600004,36.142707262800002
1,-86.799001071399999,36.142464557700002
2,-86.799034383899993,36.142169504599998
3,-86.799101008799994,36.141755478400000
4,-86.799153356900007,36.141312898599999
5,-86.799105767699999,36.141650782100001
6,-86.799191428300006,36.140989291899999
7,-86.799234258599995,36.140765622600000
8,-86.799096249800002,36.140760863700002
9,-86.798587045199994,36.140703756599997
10,-86.798525179199999,36.141260550500000
11,-86.798458554299998,36.141598433900000
12,-86.798449036500003,36.141698371300002
13,-86.798377652599996,36.142121915300002
14,-86.798363375899996,36.142388414999999
15,-86.798320545600006,36.142654914600001
16,-86.798639393299993,36.141274827200000
17,-86.798872580500003,36.141027363299997
18,-86.798168260099999,36.142098120699998
19,-86.799334195900002,36.142202816999998
20,-86.799296124600005,36.142759610900001
21,-86.799001071399999,36.142797682299999
22,-86.798282474199993,36.142745334099999
23,-86.799148598000002,36.142726298400000
24,-86.799296124600005,36.142864307200000
25,-86.799196187199996,36.142940449900003
26,-86.799134321200000,36.142835753599996
27,-86.799315160299997,36.142574012899999
28,-86.798011215599999,36.142174263500003
29,-86.798020733499996,36.142079084999999
30,-86.798068322700004,36.141684094500000
31,-86.798391929399997,36.140475328299999
32,-86.798620357600001,36.140489605100001
33,-86.799281847800003,36.140413462300003
34,-86.799224740699998,36.140337319600000
35,-86.798720294999995,36.140289730399999
36,-86.798629875499998,36.140318283900001